Class,Message
Scam,"Job offer: Earn Rs.8,399 per day doing simple online tasks. Registration fee required: http://secure-verify.co/3i33i9"
Scam,"Dear customer, your account has suspicious activity. Click http://rebrand.ly/f3h66k to secure it now."
Scam,"Your electricity board refund of Rs.2,099 is ready. Share your bank OTP to receive it."
Scam,"Act now! Limited slots for guaranteed Rs.1,600 monthly income working from home. http://rebrand.ly/j21ak9"
Scam,"Job offer: Earn Rs.2,399 per day doing simple online tasks. Registration fee required: http://short.link/ca7f5i"
Scam,"Congratulations! You have won Rs.5,400,000 in the lucky draw. Claim now at http://account-alert.net/gc84g3"
Scam,Your credit score has dropped. Click http://cutt.ly/1725cc to fix it instantly and unlock a free loan offer.
Scam,"Your ICICI Bank rewards points worth Rs.5,000 are expiring today! Redeem now: http://secure-verify.co/b0gech"
Scam,"Your Kotak Mahindra rewards points worth Rs.2,699 are expiring today! Redeem now: http://tinyurl.com/62j9j8"
Scam,"Your FedEx package with tracking ref 5VHAT0JCAG is stuck at customs. Pay Rs.7,600 to release: http://short.link/6gf727"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://account-alert.net/18aajc
Scam,URGENT: Your HDFC Bank account will be blocked. Verify your KYC immediately at http://tinyurl.com/489idc
Scam,Your netflix subscription payment failed. Update your card details immediately: http://cutt.ly/55ic78
Scam,"Your electricity board refund of Rs.4,499 is ready. Share your bank OTP to receive it."
Scam,Your ICICI Bank net banking has been locked. Click http://account-alert.net/2kb9f6 immediately to unlock your account.
Scam,"Warning: Your income tax filing has an error resulting in Rs.1,799 penalty. Pay immediately: http://account-alert.net/k4k6hi"
Scam,"Dear customer, your account has suspicious activity. Click http://cutt.ly/5hhhi6 to secure it now."
Scam,"Hello, this is Axis Bank security team. Your card has been used for a Rs.7,950 purchase. Call back to cancel."
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://bit.ly/ib2hc2
Scam,"You've qualified for a pre-approved loan of Rs.4,150. No documents required. http://short.link/4ibib1"
Scam,"URGENT: Suspicious transaction of Rs.7,999 detected on your account. Verify or lose access: http://secure-verify.co/e55bab"
Scam,"You've qualified for a pre-approved loan of Rs.2,699. No documents required. http://secure-verify.co/c8fb1f"
Scam,Your Axis Bank net banking has been locked. Click http://bit.ly/8968if immediately to unlock your account.
Scam,"Warning: Your income tax filing has an error resulting in Rs.4,899 penalty. Pay immediately: http://secure-verify.co/10g3ii"
Scam,"You are pre-selected for a Rs.1,399 personal loan at 0% interest. Apply now: http://rebrand.ly/cdiaa2"
Scam,Your Yes Bank net banking has been locked. Click http://bit.ly/k742i2 immediately to unlock your account.
Scam,"You are pre-selected for a Rs.5,000 personal loan at 0% interest. Apply now: http://secure-verify.co/jegh8b"
Scam,"Your parcel is on hold due to unpaid customs fee of Rs.4,450. Pay now: http://rebrand.ly/a6bkjb"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://account-alert.net/185ikf
Scam,"Your OTP is 6445. Do not share with anyone. If you did not request this, click http://rebrand.ly/h0ge08"
Scam,"Your parcel is on hold due to unpaid customs fee of Rs.2,550. Pay now: http://secure-verify.co/g9e5j4"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://rebrand.ly/1dk804
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.1,350. Reply YES."
