text,label
Bajaj Finserv EMI payment | Ref:36cf9299 | Amount: INR 1145.88,EMI
MakeMyTrip hotel booking | Ref:cff702a0 | Amount: INR 42188.64,Travel
SBI car loan EMI | Ref:2c6c81ca | Amount: INR 16386.55,EMI
Restaurant dining at | Ref:e0cd9bf9 | Amount: INR 18671.13,Food
HDFC home loan EMI | Ref:fb9ee999 | Amount: INR 48482.18,EMI
McDonald's meal payment | Ref:03dbd244 | Amount: INR 24155.26,Food
Grocery purchase at Big Bazaar | Ref:8e957224 | Amount: INR 43105.34,Food
IndiGo flight ticket | Ref:f4b3a995 | Amount: INR 40415.77,Travel
PPF contribution | Ref:00f5d2eb | Amount: INR 21275.05,Investment
SBI car loan EMI | Ref:50913319 | Amount: INR 2849.7,EMI
Zomato dinner bill | Ref:dbbdfacb | Amount: INR 26845.83,Food
Zomato dinner bill | Ref:cc8aa0d0 | Amount: INR 30521.74,Food
Grocery purchase at Big Bazaar | Ref:14defe2d | Amount: INR 32883.01,Food
HDFC home loan EMI | Ref:1ccc6e01 | Amount: INR 392.09,EMI
Uber ride payment | Ref:7127f90c | Amount: INR 28069.89,Travel
Swiggy order payment | Ref:3ace629e | Amount: INR 33359.73,Food
Flipkart electronics purchase | Ref:54ffa906 | Amount: INR 37404.79,Shopping
Restaurant dining at | Ref:a7874c2d | Amount: INR 48255.79,Food
Grocery purchase at Big Bazaar | Ref:1d841ee8 | Amount: INR 34018.31,Food
Reliance Digital purchase | Ref:e7836c9b | Amount: INR 32932.33,Shopping
IKEA furniture shopping | Ref:567f76a7 | Amount: INR 22033.15,Shopping
Myntra clothing order | Ref:7358f96e | Amount: INR 37778.67,Shopping
Dominos pizza order | Ref:93d2f3ac | Amount: INR 34412.48,Food
Dominos pizza order | Ref:f2a849a0 | Amount: INR 39555.59,Food
Credit card EMI installment | Ref:c240c3f8 | Amount: INR 10920.52,EMI
Flipkart electronics purchase | Ref:2352c534 | Amount: INR 40082.3,Shopping
Groww ETF investment | Ref:3f8d5ab4 | Amount: INR 27082.13,Investment
Groww ETF investment | Ref:ecae94f6 | Amount: INR 49727.52,Investment
Flipkart electronics purchase | Ref:5ac6253e | Amount: INR 37872.44,Shopping
Fixed deposit investment | Ref:00730294 | Amount: INR 30801.11,Investment
SIP investment in mutual fund | Ref:4058faa1 | Amount: INR 39840.52,Investment
Zerodha stock purchase | Ref:1d5fa6d8 | Amount: INR 5233.09,Investment
Amazon online shopping | Ref:2581fc87 | Amount: INR 33409.77,Shopping
Personal loan EMI deduction | Ref:4dc0da86 | Amount: INR 24834.66,EMI
Groww ETF investment | Ref:afe8d695 | Amount: INR 10997.82,Investment
Fixed deposit investment | Ref:ec4984c1 | Amount: INR 25197.86,Investment
Groww ETF investment | Ref:e4b8e0d6 | Amount: INR 21849.05,Investment
MakeMyTrip hotel booking | Ref:6eedac73 | Amount: INR 2861.96,Travel
Ola cab fare | Ref:857a3ef6 | Amount: INR 10486.41,Travel
HDFC home loan EMI | Ref:a0fcb562 | Amount: INR 8546.55,EMI
PPF contribution | Ref:be91c462 | Amount: INR 23052.2,Investment
Grocery purchase at Big Bazaar | Ref:fdfbc6f1 | Amount: INR 1790.77,Food
PPF contribution | Ref:34cf3904 | Amount: INR 5377.33,Investment
Zerodha stock purchase | Ref:081f2e6e | Amount: INR 7306.34,Investment
Groww ETF investment | Ref:9e9cfe58 | Amount: INR 39364.8,Investment
IndiGo flight ticket | Ref:209a0167 | Amount: INR 2167.62,Travel
Flipkart electronics purchase | Ref:c320e153 | Amount: INR 6644.36,Shopping
IKEA furniture shopping | Ref:eb730e59 | Amount: INR 40324.26,Shopping
HDFC home loan EMI | Ref:94280544 | Amount: INR 3720.85,EMI
Dominos pizza order | Ref:1f5e7f39 | Amount: INR 41195.76,Food
Reliance Digital purchase | Ref:f77997ac | Amount: INR 11917.89,Shopping
McDonald's meal payment | Ref:ac429f7b | Amount: INR 31383.89,Food
Zerodha stock purchase | Ref:adcc6688 | Amount: INR 39317.39,Investment
Amazon online shopping | Ref:f4e47338 | Amount: INR 14976.26,Shopping
Restaurant dining at | Ref:665f12b6 | Amount: INR 13744.49,Food
Swiggy order payment | Ref:3e16fb92 | Amount: INR 11778.26,Food
IKEA furniture shopping | Ref:d3201af6 | Amount: INR 10026.73,Shopping
Zomato dinner bill | Ref:85ce5253 | Amount: INR 18979.71,Food
Fixed deposit investment | Ref:3ab27186 | Amount: INR 31630.39,Investment
Restaurant dining at | Ref:a674a85b | Amount: INR 46544.75,Food
IRCTC train ticket booking | Ref:3201c61f | Amount: INR 20358.54,Travel
Reliance Digital purchase | Ref:c1256226 | Amount: INR 5856.19,Shopping
Petrol pump fuel payment | Ref:a9433719 | Amount: INR 7594.98,Travel
HDFC home loan EMI | Ref:a8474ed7 | Amount: INR 18790.86,EMI
IKEA furniture shopping | Ref:eae32f11 | Amount: INR 31895.03,Shopping
Uber ride payment | Ref:af46ba33 | Amount: INR 42248.68,Travel
Ola cab fare | Ref:109da11b | Amount: INR 39529.13,Travel
Dominos pizza order | Ref:a5543e28 | Amount: INR 10043.14,Food
IRCTC train ticket booking | Ref:d9f5a359 | Amount: INR 20624.28,Travel
RedBus bus ticket | Ref:5291c347 | Amount: INR 38506.96,Travel
Uber ride payment | Ref:b0dcd24d | Amount: INR 34884.22,Travel
SBI car loan EMI | Ref:dc0b0b98 | Amount: INR 25579.41,EMI
IKEA furniture shopping | Ref:4da6d6ed | Amount: INR 44416.91,Shopping
