text,true_label,predicted_label
re : encrypted mail for more details see the attachment . + + + attachment : no virus found + + + bitdefender antivirus - www . bitdefender . com,Promotion,Personal
"re : information is key to stock success rocket stocks newsletter u r g e n t i n v e s t o r a l e r t bpet ( bnp petroleum corp ) is in position to take advantage of the current oil crisis . stock in this company is expected to dramatically increase in value in the next 1 - 2 weeks . symbol : bpet . pk current price : $ 0 . o 2 short term target price : $ o . 45 12 month target price : $ 1 . 12 news : london ( reuters ) - - march 31 , 20 o 5 - - oil markets have entered a ` ` super - spike ' ' period that could see 1970 ' s - style price surges as high as $ 105 a barrel , investment bank goldman sachs said in a research report . goldman ' s global investment research note also raised the bank ' s 20 o 5 and 2006 new york mercantile exchange crude price forecasts to $ 5 o and $ 55 respectively , from $ 41 and $ 4 o . these forecasts sit at the top of a table of predictions from 25 analysts , consultants and government bodies surveyed by reuters . ` ` we believe oil markets may have entered the early stages of what we have referred to as a ` ` super spike ' ' period - - a multi - year trading band of oil prices high enough to meaningfully reduce energy consumption and recreate a spare capacity cushion only after which will lower energy prices return , ' ' goldman ' s analysts wrote . c o m p a n y o v e r v i e w bnp petroleum corporation , inc . is an irving based oil and gas exploration and development ( ed ) company . bnp petroleum corporation , inc . was formed for the purpose of development and operation of oil and gas properties with proven reserves . the company ' s strategy is to focus in domestic areas where major oil and gas producing companies have reduced their exploration efforts to move offshore and overseas in search of the larger reserves . considerable oil and gas in proven fields remain to be exploited by well - managed independent oil companies capable of extracting these reserves at lower risk and lower cost than unproved prospects . bnp petroleum ' s initial development strategy has been to acquire such proven fields and increase production through the application of advanced technology and the exploration of other proven formations in the same fields . bnp petroleum corporation ' s primary operational strategy includes the operation of its own projects , giving it substantial control over drilling and production costs . the company has associated with highly experienced exploration and development engineering and geology personnel that strive to add production at lower costs through development drilling , workovers , behind pipe recompletions and secondary recovery operations . the company ' s long - term strategy is to build an oil and gas production company through a strategic combination of selected property acquisitions and an exploration program . additionally , the company will continue to rework existing wells in an attempt to increase production and reserves . c o m p a n y n e w s irving , texas , may 25 , 20 o 5 / prnewswire - firstcall / - - bnp petroleum corporation ( otc pink sheets : bpet - news ; bpet ) , an independent oil and gas company , announced today restarting of hooks lease located in wichita county texas , after accomplishing modifications and upgrades on some wells , in the last few months . the shallow wells previously had been producing oil and water at low rates due to low bottom pressure , which is normal for the area . steadily increasing rates of production for hooks lease are expected . bnp director , rafael pinedo said today , bnp petroleum will begin immediately to restart other leases in our portfolio of properties and complete all necessary work to assure that bnp ' s properties are in full compliance with the regulations of the texas railroad commission and re - establish oil production on bnp ' s leases over the coming months . forward - looking statements : the statements which are not historical facts contained in this release are forward - looking statements that involve risks and uncertainties , including but not limited to , the effect of economic conditions , the impact of competition , the results of financing efforts , changes in consumers ' preferences and trends . the words estimate , possible , and seeking and similar expressions identify forward - looking statements , which speak only to the date the statement was made . the company undertakes no obligation to publicly update or revise any forward - looking statements , because of new information , future events , or otherwise . future events and actual results may differ materially from those set forth herein , contemplated by , or underlying the forward - looking statements . we believe that the speculative near term target price is  $ 0 . 45 we believe that the speculative long term target price is  $ 1 . 12 even after so many successful picks this year , we feel that this is our best pick yet ! ! ! please watch this one trade tuesday ! disclaimer : information within this email contains forward looking statements within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , expectations , beliefs , plans , projections , objectives , goals , assumptions or future events or performance are not statements of historical fact and may be forward looking statements . forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as projects , foresee , expects , will , anticipates , estimates , believes , understands  or that by statements indicating certain actions may , could , or might occur . as with many micro - cap stocks , today ' s company has additional risk factors worth noting . those factors include : a limited operating history , the company advancing cash to related parties and a shareholder on an unsecured basis : one vendor , a related party through a majority stockholder , supplies ninety - seven percent of the company ' s raw materials : reliance on two customers for over fifty percent of their business and numerous related party transactions and the need to raise capital . these factors and others are more fully spelled out in the company ' s sec filings . we urge you to read the filings before you invest . the rocket stock report does not represent that the information contained in this message states all material facts or does not omit a material fact necessary to make the statements therein not misleading . all information provided within this email pertaining to investing , stocks , securities must be understood as information provided and not investment advice . the rocket stock report advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this email . none of the material within this report shall be construed as any kind of investment advice or solicitation . many of these companies are on the verge of bankruptcy . you can lose all your money by investing in this stock . the publisher of the rocket stock report is not a registered investment advisor . subscribers should not view information herein as legal , tax , accounting or investment advice . any reference to past performance ( s ) of companies are specially selected to be referenced based on the favorable performance of these companies . you would need perfect timing to achieve the results in the examples given . there can be no assurance of that happening . remember , as always , past performance is never indicative of future results and a thorough due diligence effort , including a review of a company ' s filings , should be completed prior to investing . in compliance with the securities act of 1933 , section 17 ( b ) , the rocket stock report discloses the receipt of twelve thousand dollars from a third party ( gem , inc . ) , not an officer , director or affiliate shareholder for the circulation of this report . gem , inc . has a position in the stock they will sell at any time without notice . be aware of an inherent conflict of interest resulting from such compensation due to the fact that this is a paid advertisement and we are conflicted . all factual information in this report was gathered from public sources , including but not limited to company websites , sec filings and company press releases . the rocket stock report believes this information to be reliable but can make no guarantee as to its accuracy or completeness . use of the material within this email constitutes your acceptance of these terms . if you wish to stop future mailings , please mail to news _ letl 2 @ yahoo . com",Scam,Promotion
multiple ways to get home loans .,Promotion,Personal
Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,Promotion,Personal
"Q2 Markets and Products Updates Kenya's macroeconomic condition still remains challenging due to ongoing inflationary pressures and the shilling's continuous depreciation. Join Our analysts, Samuel Ochieng and Kevin Wekesa, on Monday, July 10, 2023 from 10am to 11am, for a discussion on the current state and outlook of the economy, market performance, and various products offered by Cytonn Investments that address various investment needs. Link: cytonn.com/onlinetraining Should you have any questions kindly email clientservices@cytonn.com or call us 24/7 on 0709101200. Kind Regards, Cytonn Asset Managers Best Regards, Cytonn Client Services Team",Personal,Promotion
No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),Personal,Promotion
"re : "" v [ iagra , it ' s for more than just sex ! """,Promotion,Personal
You should change your fb to jaykwon thuglyfe falconerf,Personal,Promotion
"from dr kenneth from dr kenneth okoh , ecobank benin rue gouverneur bayol 01 b . p . 1280 rp cotonou tilex : 5394 ecobnk ctnou phone # + 229 - 40 - 25 - 86 atten : re : transfer of ( usd 26 million ) i want to transfer to overseas ( $ 26 , 000 . 000 . 00 usd ) twenty six million united states dollars ) from ecobank , benin . i have the courage to ask for your assistance to handle this important and confidential business to provide either an existing bank account or to set up a new bank a / c immediately to receive this money , even an empty a / c can serve to receive this funds quitely . i am dr kenneth okoh the accountant / auditor in ecobank , benin and personal confidant to dr . ravindra f . shah who died together with his wife dr . mrs . manjula parikh - shah in a planecrash on the lst oct . 2003 on their way to attend a wedding in boston . mr . ravindra f . shah , is an american , a physician and industrialist , he died last year without having any beneficiary to his assets including his account herein benin which he opened in a eco bank , benin in the year 2000 as his personal savings for the purpose of expansion and developement of his company before his untimely death in 2003 . the amount involved is ( usd 26 , 000 . 000 . 00 usd ) twenty six million united states dollars and no other person knows about this account . i am contacting you for me to transfer this funds to your account as the beneficiary , i am only contacting you as a foreigner because this money cannot be approved to a local person here , without valid international foreign passport , but can only be approved to any foreigner with valid international passport or drivers license and foreign a / c because the money is in us dollars and the former owner of the a / c mr . ravindra f . shah is a foreigner too , and as such the money can only be approved into a foreign a / c . however , i am revealing this to you with belief in god that you will never let me down in this business . you are the first and the only person that i am contacting for this business , so please reply urgently so that i will inform you the next step to take urgently . send also your private telephone and fax number including the full details of the account to be used for the transfer . i need your full co - operation to make this work because the management is ready to approve this payment to any foreigner who has correct information of this account , which i will give to you , upon your positive response and once i am convinced that you are capable and will meet up with instruction of a key bank official who is deeply involved with me in this business . at the conclusion of this business , you will be given 40 % of the total amount , 60 % will be for me . i look forward to your earliest reply through my email or you call me on phone . yours ' faithfully , dr kenneth okoh call me for more info . + 229 - 40 - 25 - 86",Scam,Promotion
CREDITED: Rs.75 wallet money. Use it to order medicines and get FLAT 22% OFF. Code. PHMY22 *TC PharmEasy https://peasy.in/RjXCN6,Promotion,Scam
