text,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",personal
Ok lar... Joking wif u oni...,personal
U dun say so early hor... U c already then say...,personal
"Nah I don't think he goes to usf, he lives around here though",personal
Even my brother is not like to speak with me. They treat me like aids patent.,personal
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,personal
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",personal
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,personal
I HAVE A DATE ON SUNDAY WITH WILL!!,personal
Oh k...i'm watching here:),personal
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,personal
Fine if thats the way u feel. Thats the way its gota b,personal
Is that seriously how you spell his name?,personal
Im going to try for 2 months ha ha only joking,personal
So pay first lar... Then when is da stock comin...,personal
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,personal
Ffffffffff. Alright no way I can meet up with you sooner?,personal
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,personal
Lol your always so convincing.,personal
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,personal
"I'm back &amp; we're packing the car now, I'll let you know if there's room",personal
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,personal
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",personal
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,personal
K tell me anything about you.,personal
For fear of fainting with the of all that housework you just did? Quick have a cuppa,personal
Yup... Ok i go home look at the timings then i msg again... Xuhui going to learn on 2nd may too but her lesson is at 8am,personal
"Oops, I'll let you know when my roommate's done",personal
I see the letter B on my car,personal
Anything lor... U decide...,personal
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,personal
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,personal
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",personal
WHO ARE YOU SEEING?,personal
Great! I hope you like your man well endowed. I am &lt;#&gt; inches...,personal
No calls..messages..missed calls,personal
Didn't you get hep b immunisation in nigeria.,personal
"Fair enough, anything going on?",personal
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",personal
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,personal
What you thinked about me. First time you saw me in class.,personal
"A gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;",personal
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,personal
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",personal
Do you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt;,personal
"Sorry, I'll call later in meeting.",personal
Tell where you reached,personal
Yes..gauti and sehwag out of odi series.,personal
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,personal
Ha ha ha good joke. Girls are situation seekers.,personal
Its a part of checking IQ,personal
"Sorry my roommates took forever, it ok if I come by now?",personal
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,personal
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",personal
I plane to give on this month end.,personal
Wah lucky man... Then can save money... Hee...,personal
Finished class where are you.,personal
