text,label
Account *****535 has been created for you.,transaction
"Dear Customer, thank you for opening a new AED account with ADIB. Your a/c number is: ****0535. For any assistance please call 600543216 or visit adib.ae.",transaction
"Dear Customer, thank you for requesting a new chequebook for your A/C NO: ****0535. Your request will be fulfilled at the earliest. Sincerely, ADIB",transaction
"Dear Customer, AED 25806.50 was credited to your account ****0535. Your available account balance is AED 25806.50",transaction
"Dear Customer, AED 12800.00 was debited from your account ****0535. Your available account balance is AED 13006.50",transaction
Trx. of AED 50.00 on your a/c ****0535 at ABU DHABI NATIONAL OIL ABU DHABI AE. Avl Bal is AED 12956.50,transaction
Trx. of AED 78.75 on your a/c ****0535 at ART HOUSE CAFE ABU DHABI AE. Avl Bal is AED 12877.75,transaction
"Dear Customer, ATM Cash Withdrawal for AED 100.00 was debited from your account ****0535. Your Avl Bal is AED 12777.75.",transaction
"Dear Customer, ATM Cash Withdrawal for AED 12000.00 was debited from your account ****0535. Your Avl Bal is AED 777.75.",transaction
Trx. of AED 40.00 on your a/c ****0535 at ZOMATO ORDER DUBAI AE. Avl Bal is AED 737.75,transaction
Trx. of AED 50.00 on your a/c ****0535 at ABU DHABI NATIONAL OIL ABU DHABI AE. Avl Bal is AED 687.75,transaction
Trx. of AED 87.75 on your a/c ****0535 at FLAKES HUB RESTURANT ABU DHABI AE. Avl Bal is AED 600.00,transaction
Trx. of AED 54.00 on your a/c ****0535 at BREATH CAFE ABU DHABI AE. Avl Bal is AED 546.00,transaction
Trx. of AED 113.40 on your a/c ****0535 at ART HOUSE CAFE ABU DHABI AE. Avl Bal is AED 432.60,transaction
Trx. of AED 100.00 on your a/c ****0535 at ABU DHABI NATIONAL OIL ABU DHABI AE. Avl Bal is AED 332.60,transaction
"Dear Customer, AED 310.00 was debited from your account ****0535. Your available account balance is AED 22.60",transaction
"Dear Customer, AED 16000.00 was credited to your account ****0535. Your available account balance is AED 16022.60",transaction
"Dear Customer, AED 8000.00 was debited from your account ****0535. Your available account balance is AED 8022.60",transaction
Trx. of AED 369.00 on your a/c ****0535 at www.groupon.ae groupon.ae IE. Avl Bal is AED 7653.60,transaction
"Dear Customer, AED 100.00 was debited from your account ****0535. Your available account balance is AED 7553.60",transaction
"Dear Customer, AED 1200.00 was credited to your account ****0535. Your available account balance is AED 8753.60",transaction
Trx. of AED 67.20 on your a/c ****0535 at GERARD PATISSERIE ABU DHABI AE. Avl Bal is AED 8686.40,transaction
"Dear Customer, ATM Cash Withdrawal for AED 3000.00 was debited from your account ****0535. Your Avl Bal is AED 5686.40.",transaction
"Dear Customer, AED 100.00 was debited from your account ****0535. Your available account balance is AED 5585.40",transaction
Trx. of AED 3.75 on your a/c ****0535 at ADNOC MAHAWIS/S917 ABU DHABI AE. Avl Bal is AED 5581.65,transaction
Trx. of AED 12.00 on your a/c ****0535 at MCDONALDS-ADNOC MUSHRI DUBAI AE. Avl Bal is AED 5569.65,transaction
Trx. of AED 7.25 on your a/c ****0535 at MCDONALDS-ADNOC MUSHRI DUBAI AE. Avl Bal is AED 5562.40,transaction
Trx. of AED 6.00 on your a/c ****0535 at MCDONALDS-ADNOC MUSHRI DUBAI AE. Avl Bal is AED 5556.40,transaction
Trx. of AED 11.50 on your a/c ****0535 at AL KARAM MOBILE PHONES ABU DHABI AE. Avl Bal is AED 5544.90,transaction
Trx. of AED 120.75 on your a/c ****0535 at STARBUCKS -D625 ALSHAY ABU DHABI AE. Avl Bal is AED 5424.15,transaction
Transaction of AED 12.60 debited from your a/c ****0535 at GULF PASTRY LLC ABU DHABI AE. Avl Bal is AED 5411.55,transaction
Transaction of AED 22.00 debited from your a/c ****0535 at TEA JUNCTION EXPRESS ABU DHABI AE. Avl Bal is AED 5389.55,transaction
Transaction of AED 8.50 debited from your a/c ****0535 at PARAKANDY ABDUL MAJEED ABU DHABI AE. Avl Bal is AED 5381.05,transaction
Transaction of AED 70.00 debited from your a/c ****0535 at ADNOC BANIYAS(NORTH)95 ABU DHABI AE. Avl Bal is AED 5311.05,transaction
Transaction of AED 12.00 debited from your a/c ****0535 at TEA JUNCTION EXPRESS ABU DHABI AE. Avl Bal is AED 5299.05,transaction
Transaction of AED 181.00 debited from your a/c ****0535 at APPLEBEES ABU DHABI AE. Avl Bal is AED 5118.05,transaction
Transaction of AED 15.00 debited from your a/c ****0535 at PARAKANDY ABDUL MAJEED ABU DHABI AE. Avl Bal is AED 5103.05,transaction
Transaction of AED 50.00 debited from your a/c ****0535 at ADNOC S/S -754 SHAWAMA ABU DHABI AE. Avl Bal is AED 5053.05,transaction
Transaction of AED 315.00 debited from your a/c ****0535 at FEATHERS FASHION-YASS AUH AE. Avl Bal is AED 4738.05,transaction
Transaction of AED 237.30 debited from your a/c ****0535 at NOMINATION ITALY ACCES ABU DHABI AE. Avl Bal is AED 4500.75,transaction
Transaction of AED 22.00 debited from your a/c ****0535 at STARBUCKS -D459 AL SHA ABU DHABI AE. Avl Bal is AED 4478.75,transaction
"Dear Customer, AED 16000.00 was credited to your account ****0535. Your available account balance is AED 20478.75",transaction
Transaction of AED 114.19 debited from your a/c ****0535 at ART HOUSE CAFE ABU DHABI AE. Avl Bal is AED 20364.56,transaction
"Dear Customer, AED 14000.00 was debited from your account ****0535. Your available account balance is AED 6364.56",transaction
"Dear Customer, AED 500.00 was debited from your account ****0535. Your available account balance is AED 5863.51",transaction
"Dear Customer, AED 1.05 was debited from your account ****0535. Your available account balance is AED 5863.51",transaction
"Dear Customer, AED 1.05 was debited from your account ****0535. Your available account balance is AED 2362.46",transaction
"Dear Customer, AED 3500.00 was debited from your account ****0535. Your available account balance is AED 2362.46",transaction
Transaction of AED 189.79 debited from your a/c ****0535 at SNATCH RESTAURANT ABU DHABI AE. Avl Bal is AED 2172.67,transaction
Transaction of AED 50.00 debited from your a/c ****0535 at ADNOC AUH INT AIR 993 ABU DHABI AE. Avl Bal is AED 2122.67,transaction
Transaction of AED 0.34 debited from your a/c ****0535 at KERMALAK RESTAURANT ABU DHABI AE. Avl Bal is AED 2122.33,transaction
Transaction of AED 33.60 debited from your a/c ****0535 at KERMALAK RESTAURANT ABU DHABI AE. Avl Bal is AED 2088.73,transaction
Transaction of AED 50.00 debited from your a/c ****0535 at ADNOC JURNYAFOORS/S-95 ABU DHABI AE. Avl Bal is AED 2038.73,transaction
"Dear Customer, AED 300.00 was debited from your account ****0535. Your available account balance is AED 1738.73",transaction
Transaction of AED 18.00 debited from your a/c ****0535 at CAFTERIA ALRAAI ABU DHABI AE. Avl Bal is AED 1720.73,transaction
Transaction of AED 38.65 debited from your a/c ****0535 at AL BATEEN MALL SUPERMAR ABU DHABI AE. Avl Bal is AED 1682.08,transaction
Transaction of AED 100.00 debited from your a/c ****0535 at ADNOC JURNYAFOORS/S-95 ABU DHABI AE. Avl Bal is AED 1582.08,transaction
Transaction of AED 21.00 debited from your a/c ****0535 at FRUITESCA JUICE ABU DHABI AE. Avl Bal is AED 1561.08,transaction
Transaction of AED 114.19 debited from your a/c ****0535 at ART HOUSE CAFE ABU DHABI AE. Avl Bal is AED 1446.89,transaction
Transaction of AED 25.00 debited from your a/c ****0535 at ZOMATO ORDER DUBAI AE. Avl Bal is AED 1421.89,transaction
Transaction of AED 16.25 debited from your a/c ****0535 at FARAH EXPERIENCES ABU DHABI AE. Avl Bal is AED 1405.64,transaction
Transaction of AED 35.20 debited from your a/c ****0535 at ZOMATO ORDER DUBAI AE. Avl Bal is AED 1370.44,transaction
"Dear Customer, AED 630.00 was debited from your account ****0535. Your available account balance is AED 740.44",transaction
Transaction of AED 65.11 debited from your a/c ****0535 at FALCON PACK ABU DHABI AE. Avl Bal is AED 675.33,transaction
Transaction of AED 90.16 debited from your a/c ****0535 at WEAR MART BRANCH 3 ABU DHABI AE. Avl Bal is AED 585.17,transaction
"Dear Customer, AED 110.00 was debited from your account ****0535. Your available account balance is AED 475.17",transaction
Transaction of AED 54.00 debited from your a/c ****0535 at LULU HYPERMARKET- WTC Abu Dhabi AE. Avl Bal is AED 421.17,transaction
Transaction of AED 79.50 debited from your a/c ****0535 at TARGET PHARMACY -055039 ABU DHABI AE. Avl Bal is AED 341.67,transaction
"Dear Customer, AED 100.00 was debited from your account ****0535. Your available account balance is AED 241.67",transaction
"Dear Customer, AED 200.00 was debited from your account ****0535. Your available account balance is AED 41.67",transaction
Transaction of AED 30.00 debited from your a/c ****0535 at ADNOC AL MAFRAQ S-171 ABU DHABI AE. Avl Bal is AED 11.67,transaction
"Dear Customer, profit of AED 0.91 was credited to your account ****0535.",transaction
"Dear Customer, AED 16000.00 was credited to your account ****0535. Your available account balance is AED 30012.58",transaction
"Dear Customer, AED 5000.00 was debited from your account ****0535. Your available account balance is AED 25011.53",transaction
"Dear Customer, AED 1.05 was debited from your account ****0535. Your available account balance is AED 25011.53",transaction
Transaction of AED 2913.00 debited from your a/c ****0535 at ETIHAD AIRWAYS EY LBAYDV RAS AL KHAIMA AE. Avl Bal is AED 22098.53,transaction
Transaction of AED 2913.00 debited from your a/c ****0535 at ETIHAD AIRWAYS EY XONNYM RAS AL KHAIMA AE. Avl Bal is AED 19185.53,transaction
"Dear Customer, AED 100.00 was debited from your account ****0535. Your available account balance is AED 19084.48",transaction
"Dear Customer, AED 1.05 was debited from your account ****0535. Your available account balance is AED 19084.48",transaction
"Dear Customer, AED 100.00 was debited from your account ****0535. Your available account balance is AED 18984.48",transaction
